2018-04-19 01:01:59,410 - root - INFO - Start
2018-04-19 01:01:59,551 - root - INFO - STATUS 1:True cache_layer {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:01:59,552 - root - INFO - STATUS 2:True legacy_api {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>}
2018-04-19 01:01:59,552 - root - INFO - STATUS 3:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'meta', 'market': 'currencies', 'parser': <function currencies at 0x10884a0d0>}
2018-04-19 01:01:59,553 - root - INFO - STATUS 4:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'opskins.com', 'parser': <function opskins at 0x10902f950>}
2018-04-19 01:01:59,553 - root - INFO - STATUS 5:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'game': 'dota2', 'market': 'dota.money', 'parser': <function dotamoney at 0x10902f9d8>}
2018-04-19 01:01:59,553 - root - INFO - STATUS 6:True parser_wrapper {'storage': <DictProxy object, typeid 'dict' at 0x107462b00>, 'proxy': None, 'bs-token': <pyotp.totp.TOTP object at 0x108426e80>, 'bs-api-key': '6651e3e2-5842-4538-8b91-12f67211fabe', 'game': 'dota2', 'market': 'bitskins.com', 'sale_purchase': False, 'parser': <function bitskins at 0x10902fa60>}
2018-04-19 01:02:00,090 - root - INFO - 0.233 	 meta:currencies upd loaded
2018-04-19 01:02:00,107 - root - INFO - 0.000 	 meta:currencies av dropped
2018-04-19 01:02:00,110 - root - INFO - 0.003 	 meta:currencies server cache updated
2018-04-19 01:02:00,114 - root - INFO - 0.003 	 meta:currencies last time updated
2018-04-19 01:02:00,401 - root - INFO - 0.542 	 dota2:opskins.com upd loaded
2018-04-19 01:02:00,405 - root - INFO - 0.000 	 dota2:opskins.com av dropped
2018-04-19 01:02:00,453 - root - INFO - 0.048 	 dota2:opskins.com server cache updated
2018-04-19 01:02:00,456 - root - INFO - 0.003 	 dota2:opskins.com last time updated
2018-04-19 01:02:01,920 - root - INFO - 2.061 	 dota2:dota.money upd loaded
2018-04-19 01:02:02,004 - root - INFO - 0.008 	 dota2:dota.money av dropped
2018-04-19 01:02:02,095 - root - INFO - 0.091 	 dota2:dota.money server cache updated
2018-04-19 01:02:02,099 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:02:02,719 - root - INFO - 2.858 	 dota2:bitskins.com upd loaded
2018-04-19 01:02:02,815 - root - INFO - 0.006 	 dota2:bitskins.com av dropped
2018-04-19 01:02:02,936 - root - INFO - 0.121 	 dota2:bitskins.com server cache updated
2018-04-19 01:02:02,940 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:02:05,675 - root - INFO - 0.218 	 dota2:opskins.com upd loaded
2018-04-19 01:02:05,813 - root - INFO - 0.002 	 dota2:opskins.com av dropped
2018-04-19 01:02:05,920 - root - INFO - 0.107 	 dota2:opskins.com server cache updated
2018-04-19 01:02:05,924 - root - INFO - 0.004 	 dota2:opskins.com last time updated
2018-04-19 01:02:08,848 - root - INFO - 1.748 	 dota2:dota.money upd loaded
2018-04-19 01:02:08,992 - root - INFO - 0.012 	 dota2:dota.money av dropped
2018-04-19 01:02:09,077 - root - INFO - 0.084 	 dota2:dota.money server cache updated
2018-04-19 01:02:09,080 - root - INFO - 0.003 	 dota2:dota.money last time updated
2018-04-19 01:02:10,034 - root - INFO - 2.093 	 dota2:bitskins.com upd loaded
2018-04-19 01:02:10,180 - root - INFO - 0.005 	 dota2:bitskins.com av dropped
2018-04-19 01:02:10,288 - root - INFO - 0.108 	 dota2:bitskins.com server cache updated
2018-04-19 01:02:10,292 - root - INFO - 0.004 	 dota2:bitskins.com last time updated
2018-04-19 01:02:11,116 - root - INFO - 0.190 	 dota2:opskins.com upd loaded
